timestamp,input_tokens,output_tokens,cost_input_usd,cost_output_usd,total_cost_usd,context
2026-06-28T08:09:34.960102,7,7,0.00000560,0.00001680,0.00002240,web_search
2026-06-28T10:30:55.279961,26,897,0.00002080,0.00215280,0.00217360,web_search
2026-06-28T10:31:30.900117,27,1005,0.00002160,0.00241200,0.00243360,web_search
2026-06-28T20:35:23.745242,27,361,0.00002160,0.00086640,0.00088800,web_search
